itemID,Tongan Word,Dictionary Page,Number of Letters,Number of Phonemes,Number of Moras,Part of Speech,Meaning in English,Number of Participants,Reaction Time,Accuracy
922,femātaaki,100,9,10,6,adverb, (adv) face to face,29,534,1.00
923,feohiʻanga,100,10,9,5,noun, (n) place or means of communion or fellowship,24,614,1.00
924,feliliuaki,100,10,10,6,verb," (v) to change this way and that, to be changeable or constantly changing",32,586,0.88
925,felōngoaki,100,10,10,6,verb," (v) to see to speak to, to see and converse with",24,536,0.96
926,femoʻuekina,100,11,11,6,verb," (v) to be very, very busy",24,600,1.00
927,fepakipaki,100,10,10,5,verb, (v) to collide against one another (more than two things),26,643,0.96
928,fekāinga‘aki,100,12,12,7,verb, (v) to be related to each other,24,560,1.00
929,fekaume‘a‘aki,100,13,13,7,verb, (v) to be friends (of each other),29,585,0.97
930,fepulingaki,100,11,10,5,verb, (v) to see or come across each other from time to time,24,695,0.75
931,femahino‘aki,100,12,12,6,verb," (v) to be understood by each other, to understand each other",32,552,0.94
932,femanako‘aki,100,12,12,6,verb," (v) to like each other, or to be in love with each other",24,709,0.92
933,femanatu‘aki,100,12,12,6,verb, (v) to think of or remember one another,24,580,0.96
934,femelinoʻaki,100,12,12,6,verb, (v) to be at peace with each other,26,665,0.73
935,fī,101,2,3,2,noun," (n) plait of hair, or pigtail",24,551,0.96
936,feʻao,101,5,5,3,verb," (v) to be company for each other, to look after each other, to look after",32,479,0.91
937,fetaʻu,101,6,6,3,noun, (n) fine mat or piece of silk (used as a covering for a corpse),24,684,1.00
938,fetu‘u,101,6,6,3,noun, (n) star,24,531,1.00
939,fepiki,101,6,6,3,verb, (v) to join hands,26,553,0.92
940,fetaki,101,6,6,3,verb, (v) to lay pieces of wood on top of food in a native oven,24,930,0.79
941,fetuku,101,6,6,3,verb, (v) to shift or remove many things from one place to another,23,650,0.91
942,feʻauhi,101,7,7,4,verb, (v) to compete with one another feʻauhi: (n) competition,32,540,1.00
943,feʻunga,101,7,6,3,verb," (v) to fit; to be or suitable or sufficient; to correspond or coincide; to be opposite to, or in a line with, or level with; to be contemporaneous with or at the same time",24,501,1.00
944,Fēpueli,101,7,8,5,noun, (n) February,24,530,1.00
945,fetāʻaki,101,8,9,5,verb," (v) to hit or strike one another; to fight with foils, to fence",26,487,1.00
946,fetongi,101,7,6,3,verb," (v) to change or exchange for something else; to take the place of, be a substitute for, replace, relieve, succeed; change one’s clothes",24,555,1.00
947,fetefete,101,8,8,4,adjective/verb, (adj/v) lumpy,29,677,0.90
948,feʻiloaki,101,9,9,5,verb," (v) to meet one another, to see and speak to one another, to greet one another, or to say goodbye to one another",24,584,0.92
949,feʻofaʻaki,101,10,10,5,verb, (v) to love or be kind to one another,32,546,1.00
950,fetaulaki,101,9,9,5,verb," (v) to meet (of persons coming from opposite or different directions, or of roads meeting at a certain point)",24,648,0.96
951,fetohiʻaki,101,10,10,5,verb," (v) to write to, correspond with each other",26,516,1.00
952,fetu‘utaki,101,10,10,5,noun," (n) connexion, relationship, dealing; being connected or related",24,643,1.00
953,fe‘alu‘aki,101,10,10,5,verb," (v) to go here and there, pass to and for, or walk up and down",29,529,0.93
954,fetakinima,101,10,10,5,verb, (v) to go along hand in hand or arm in arm,24,707,0.88
955,fetulituli,101,10,10,5,verb," (v) to hurry up, to try to catch up or to be there (or here) on time",31,607,0.90
956,fe‘efi‘efihi,101,12,12,6,verb," (v) to be crowded, crammed, packed (of things or people); to get in each others way",24,705,1.00
957,feʻofoʻofani,101,12,12,6,verb, (v) to be friendly with one another,24,508,0.96
958,fepulingaki,101,11,10,5,verb, (v) to lose sight of one another; or (for things) to be so mixed up that one cannot sort them out,26,642,0.88
959,fetokoniʻaki,101,12,12,6,verb," (v) to help one another, to co-operate",24,588,1.00
960,fie hā,102,5,6,4,verb, (v) to desire to be seen; to show off,23,566,0.91
961,fie lahi,102,7,7,4,verb," (v) to imagine oneself to be great, to desire to be treated as a person of importance, to be proud or haughty",32,514,1.00
962,fie vale loi,102,10,10,6,verb, (v) to desire to be thought ignorant or unskilled when one is not really so,24,607,0.96
963,fiefia,102,6,6,4,verb," (v) to rejoice, to be happy or glad or joyful",24,608,0.88
964,fiekaia,102,7,7,5,verb, (v) to be hungry,24,583,1.00
965,fiema‘u,102,7,7,4,verb," (v) to desire to get or have, to want",29,593,1.00
966,fiemālie,102,8,9,6,adverb," (adv) with an easy mind, contentedly, willingly, or comfortably",24,617,0.96
967,fieme‘a,102,7,7,4,verb," (v) to imagine oneself to be something, to be self-important or snobbish",32,512,0.97
968,fiemohea,102,8,8,5,verb, (v) to be sleepy,24,700,0.88
969,fifili,102,6,6,3,verb," (v) to ponder, deliberate; to wonder (whether)",24,498,1.00
970,fifisi,102,6,6,3,adjective/verb," (adj/v) pungent or hot to the taste, spicy hot",26,543,1.00
971,fiha,102,4,4,2,expression, (exp) how many; how much,24,606,0.92
972,fihi,102,4,4,2,adjective/verb," (adj/v) tangled; intricate, complicated, or problematical",29,581,0.79
973,fihia,102,5,5,3,verb," (v) to be entangled, caught, entrapped",23,700,0.70
974,fika‘i,102,6,6,3,verb," (v) to figure out, calculate by arithmetic",32,478,0.97
975,fili,102,4,4,2,verb," (v) to choose, pick out, cull, select, elect; to sort",24,478,1.00
976,filimi,102,6,6,3,noun," (n) film (photographic, cinematographic, etc.)",24,620,0.83
977,filita,102,6,6,3,noun," (n) filter; a round, galvanized steel tank (for collecting water)",26,606,0.81
978,filo,102,4,4,2,noun," (n) thread, cotton, or thin string, or the string of a violin etc.",23,691,0.96
979,finangalo,102,9,8,4,noun," (n) mind, heart; will, desire, purpose",29,668,0.97
980,fineʻeiki,102,9,9,5,noun, (n) lady; madam; mistress,24,484,1.00
981,finemotuʻa,102,10,10,5,noun, (n) elderly woman; married woman,32,580,0.94
982,finemui,102,7,7,4,noun, (n) young woman,24,543,0.92
983,fingota,102,7,6,3,noun," (n) sea creature of any kind other than fish (shell-fish, jelly-fish, sea slugs, star fish etc.)",24,508,1.00
984,Finilani,102,8,8,4,noun, (n) Finland,26,622,0.92
985,Fisi,102,4,4,2,noun, (n) Fiji,24,481,1.00
986,fitu,102,4,4,2,numeral, (num) seven (7),29,578,0.90
987,fitungeau,102,9,8,5,numeral, (num) seven hundred (700),24,581,0.92
988,fitungofulu,102,11,10,5,numeral, (num) seventy (70),32,518,1.00
989,fiu,102,3,3,2,verb," (v) to be satisfied, to have had enough (of drink); to be satiated, to have had more than enough, to be fed up or sick and tired of",24,502,0.88
990,fō,102,2,3,2,verb, (v) to wash clothes,24,512,0.96
991,foa,102,3,3,2,verb, (v) to break; to cut (ripe coconuts) in halves,26,595,0.85
992,foaki,102,5,5,3,noun," (n) giving, presenting; gift",24,684,0.88
993,fōfoa‘i,102,7,8,5,verb, (v) to hatch (eggs or chicks),29,504,1.00
994,fofola,102,6,6,3,verb, (v) to unroll or unfold and spread out,24,531,0.96
995,fofonu,102,6,6,3,verb, (v) to have a head cold,32,567,0.97
996,fofonga,103,7,6,3,noun," (n) (polite or honorific for) eyes, face",24,504,0.96
997,fofonga-mamahi,103,13,12,6,adjective/verb, (adj/v) sad-looking; mournful or solemn in appearance,24,545,1.00
998,foha,103,4,4,2,noun, (n) tuber; bulb ( usually refers to yams etc.),26,557,0.96
999,fohe‘uli,103,8,8,4,noun, (n) steer-oar; rudder,29,499,0.97
1000,fohi,103,4,4,2,verb," (v) to remove skin, rind, peel or pods; to skin, flay, peel or pod",24,507,1.00
1001,foki,103,4,4,2,adverb," (adv) also, likewise; moreover, furthermore, however, you see, as a matter of fact",24,518,0.92
1002,fokihi,103,6,6,3,verb, (v) to turn over or turn round; to turn inside out,24,547,1.00
1003,fokisi,103,6,6,3,noun, (n) fox,26,640,0.96
1004,fokotu‘u,103,8,8,4,verb," (v) to cause to stand, to stand; to heap up, stack, to set up, found establish, or install; to appoint; to set out, set in order",23,456,1.00
1005,fokotu‘unga,103,11,10,5,noun," (n) heap, pile, stack",29,575,1.00
1006,fokotu‘utaha,103,12,12,6,verb," (v) to heap or pile up, to place in a heap or pile",24,631,1.00
1007,fokotu‘utu‘u,103,12,12,6,verb," (v) to stand up, set up or establish one after another, or bit by bit; to stand, arrange, or set out in various positions; to place in heaps or piles",32,456,0.97
1008,fokotutu‘u,103,10,10,5,verb, (v) to sit on the haunches with the knees drawn up towards the chin,24,533,0.92
1009,fola,103,4,4,2,verb," (v) to spread out, spread open, unfold, or unfurl",24,543,1.00
1010,folahi,103,6,6,3,verb, (v) to spread out,26,605,0.96
1011,folau,103,5,5,3,noun," (n) voyage, voyagers; or several boats or canoes travelling together",24,560,0.96
1012,folau,103,5,5,3,verb," (v) to voyage, to travel or journey by sea",29,611,1.00
1013,folo,103,4,4,2,verb, (v) to swallow; to take,32,525,0.97
1014,folofola,103,8,8,4,noun," (n) word or speech of a sovereign; sacred scripture, Bible",24,518,1.00
1015,fōneli,103,6,7,4,noun, (n) funnel,24,572,0.88
1016,fono,103,4,4,2,noun, (n) plank used in the construction of a boat,26,510,0.92
1017,fononga,103,7,6,3,verb," (v) to walk or goa considerable distance, to travel or journey by land; to travel or move onward in time",24,661,1.00
1018,fonu,103,4,4,2,adjective/verb, (adj/v) full (of container or notebook),29,594,0.93
1019,fonua,103,5,5,3,noun," (n) land, country, territory, place",24,571,0.96
1020,fota,103,4,4,2,verb, (v) to massage by squeezing,24,627,0.79
1021,fotu,103,4,4,2,verb," (v) to emerge, to come into view; to stand out, be or become prominent",24,645,0.83
1022,fōtunga,103,7,7,4,noun," (n) appearance, face, countenance, features",26,530,1.00
1023,fou,103,3,3,2,verb," (v) to go, travel, move, or come by a specified route or in a specified direction",23,566,0.91
1024,founga,103,6,5,3,noun," (n) route; way in which a thing is done, method, procedure, plan, rule",29,581,0.97
1025,fo‘i,104,4,4,2,noun," (n) fruit of; egg of; single,  individual ",23,565,0.96
1026,fo‘i moa,104,7,7,4,noun, (n) fowls eggs,32,483,0.94
1027,foʻi ʻakau,104,9,9,5,noun, (n) fruit,24,542,0.96
1028,foʻiʻakau,104,9,9,5,noun," (n) pill, medicinal tablet or capsule",23,498,1.00
1029,foʻohake,104,8,8,4,verb, (v) to be or to lie face . upwards,26,495,1.00
1030,foʻohifo,104,8,8,4,verb, (v) to be or to lie face downwards,24,565,1.00
1031,foʻou,104,5,5,3,adjective/verb," (adj/v) new, fresh; strange, unfamiliar",29,522,0.97
1032,foʻui,104,5,5,3,noun," (n) fault, cause for blame",24,595,1.00
1033,fū,104,2,3,2,verb, (v) to clap the hands crosswise so as to make a hollow sound,32,454,1.00
1034,fua,104,3,3,2,adjective," (adj) weighed, measured",23,521,0.96
1035,fua‘a,104,5,5,3,adjective/verb, (adj/v) jealous,24,483,0.96
1036,fua‘i,104,5,5,3,noun, (n) fruit of,26,563,1.00
1037,fuakava,104,7,7,4,verb, (v) to make a vow or a solemn promise or covenant; to take an oath,24,624,1.00
1038,fuamelie,104,8,8,5,noun," (n) currants, raisins, or sultanas",29,573,0.86
1039,fuatakai,104,8,8,5,noun," (n) circumference, distance right round",24,600,0.88
1040,fue,104,3,3,2,verb, (v) to swish away flies; to swipe or hit or beat or thrash,32,636,0.72
1041,fufū,104,4,5,3,adjective," (adj) hidden, concealed",24,515,1.00
1042,fufula,104,6,6,3,verb," (v) to swell, swell up, swell out; to pout, or to blow out the cheeks",24,523,1.00
1043,fufulu,104,6,6,3,verb," (v) to wash or scrub, to clean",26,527,0.92
1044,fufuu‘i,104,7,7,4,verb, (v) to hide or conceal,24,511,1.00
1045,fuhi,104,4,4,2,noun, (n) bunch,29,574,0.97
1046,fuhinga,104,7,6,3,noun, (n) bunch,24,620,0.79
1047,fuhu,104,4,4,2,verb," (v) to fight with the fists, to box; to engage in a free fight",32,517,1.00
1048,fuka,104,4,4,2,noun," (n) banner, flag",24,571,0.92
1049,fukahi,104,6,6,3,noun, (n) surface,24,593,0.96
1050,fuke,104,4,4,2,verb, (v) to open up a native oven,26,527,0.92
1051,fukefuke,104,8,8,4,verb, (v) to unwrap (a parcel),24,628,0.92
1052,fulihi,104,6,6,3,adverb, (adv) inverted or upside-down,29,562,0.97
1053,fulū,104,4,5,3,noun, (n) influenza,24,592,0.96
1054,fulufulu,104,8,8,4,noun, (n) hair; fur; feather,32,555,1.00
1055,fulufulu‘i manu,104,14,14,7,noun, (n) feathers,24,519,1.00
1056,fulufulu‘i sipi,104,14,14,7,noun, (n) wool,24,562,1.00
1057,fulufulua,104,9,9,5,adjective/verb," (adj/v) hairy, furry, woolly, or feathery",26,595,1.00
1058,fulutāmakia,104,11,12,7,verb," (v) to be suffocated, to be suffocating or unable to breathe",24,652,1.00
1059,funga,104,5,4,2,noun," (n) top, upper surface",24,612,0.96
1060,funga matapā,104,11,11,6,noun, (n) lintel,31,664,1.00
1061,funga matapā-sio‘ata,104,18,18,10,noun," (n) window- sill, or top (lintel) of window",23,623,1.00
1062,fungani,104,7,6,3,adjective/verb," (adj/v) tip-top, first rate, excellent, especially or extremely good",24,559,0.71
1063,fu'ifu'i,105,8,8,4,verb," (v) to throw or pour or sprinkle water on, or to douse",26,510,1.00
1064,fuo,105,3,3,2,noun, (n) shape,24,555,1.00
1065,fuofua,105,6,6,4,noun, (n) pimple,29,536,1.00
1066,fuolahi,105,7,7,4,adjective/verb," (adj/v) (of circle or square) wide, large in diameter; (of stick or cylinder) thick; (of ball) big, large",24,620,0.96
1067,fuolalahi,105,9,9,5,adjective/verb," (adj/v) dual or plural of preceding; large-grained, coarse (sand or sugar)",32,498,0.97
1068,fuoloa,105,6,6,4,adjective/verb," (adj/v) long (in duration); long ago; old, ancient",24,584,0.88
1069,fuoloa si'i,105,10,10,6,adverb/verb," (adv/v) (to be or continue) for a while, or for a time (but not for long)",24,544,0.96
1070,fuolōloa,105,8,9,6,adjective/verb," (adj/v) long-shaped, long in proportion to its breadth; oval, elliptical",26,563,1.00
1071,fuopotopoto,105,11,11,6,adjective/verb," (adj/v) round, circular, cylindrical, spherical",24,608,1.00
1072,fuosi'i,105,7,7,4,adjective/verb," (adj/v) (of circle or square) narrow, small in diameter; (of stick or cylinder) thin; (of ball) small, little",29,535,0.97
1073,fuo-tatau,105,8,8,5,adjective/verb, (adj/v) of the same shape,24,588,0.96
1074,fusi,105,4,4,2,noun, (n) plantain or banana (of any kind),32,499,0.97
1075,fusi taula,105,9,9,5,verb," (v) to pull up the anchor, to weigh anchor",24,656,0.92
1076,fute,105,4,4,2,adjective," (adj) habitually restless, continually jumping about",24,752,0.92
1077,fu'u,105,4,4,2,adjective," (adj) big, large, great or numerous",26,536,1.00
1078,ha,105,2,2,1,article," (art) a, an, some, any (sometimes untranslatable)",24,698,0.83
1079,hā,105,2,3,2,interrogative, (interrog) what,29,538,0.97
1080,hae,105,3,3,2,verb," (v) to tear, rend; to tear apart, pull apart; to tear off, strip off; to open by tearing or forcibly; to break into (a house)",24,648,0.83
1081,hafu,105,4,4,2,noun, (n) small waterfall,24,584,0.92
1082,haha,105,4,4,2,verb," (v) to hit, beat, thrash, or thresh; to knock down fruit with a stick",24,649,0.83
1083,hāhā,105,4,6,4,verb, (v) to appear or come into view slightly or gradually or continually,26,459,1.00
1084,hahake,105,6,6,3,adjective," (adj) east, eastern",24,676,0.96
1085,hāhāmolofia,105,11,13,8,adjective/verb," (adj/v) scarce or rare, seen or met with only occasionally",29,563,1.00
1086,hahau,105,5,5,3,noun, (n) dew night moisture,23,625,0.91
1087,haisini,105,7,7,4,noun, (n) hygiene,24,711,0.79
1088,haka,105,4,4,2,noun, (n) food put on to boil or stew; boiled or stewed food,24,470,1.00
1089,haka mao,106,7,7,4,verb, (v) to steam (cook in steam),26,564,0.96
1090,hakalo,106,6,6,3,noun, (n) coconut- scraper,24,635,1.00
1091,hakau,106,5,5,3,noun, (n) coral reef or rock which appears above the surface at low tide,29,520,0.93
1092,hake,106,4,4,2,adverb," (adv) up, upwards, along, past",24,569,0.88
1093,hakevela,106,8,8,4,noun/verb, (n/v) (to have) heart-burn,32,734,0.81
1094,hako,106,4,4,2,verb," (v) to grow long, to lengthen out in growing",24,499,0.92
1095,hakolo,106,6,6,3,verb, (v) to make a noise like that of something boiling,26,710,0.88
1096,haku,106,4,4,2,noun, (n) young sword-fish,24,593,0.96
1097,hakulā,106,6,7,4,noun, (n) sword-fish,29,488,0.97
1098,hakule,106,6,6,3,verb," (v) to rummage about, to ransack; to examine carefully",24,704,0.92
1099,hala,106,4,4,2,noun," (n) path, road; stairway",32,492,0.97
1100,hala ‘atā,106,8,9,5,verb, (v) not to have any at all,24,527,1.00
1101,hala loto ‘api,106,12,12,6,verb," (v) to walk through, or trespass on somebody's property",24,547,1.00
1102,hala-fakakavakava,106,16,16,8,noun, (n) bridge,26,639,1.00
1103,halaia,106,6,6,4,verb, (v) to be guilty,24,837,0.92
1104,halanga,106,7,6,3,noun," (n) track, trail",28,605,0.93
1105,halani,106,6,6,3,verb, (v) (of the sun or moon) to give light above the horizon shortly before it rises,24,526,0.79
1106,halelu‘ia,106,9,9,5,interjection, (interj) hallelujah,32,626,0.97
1107,halu,106,4,4,2,verb," (v) to slit, to shred, to cut or tear into fine strips; tear up, scarify (the soil)",24,581,0.92
1108,hāmala,106,6,7,4,noun, (n) hammer,24,533,0.96
1109,hami,106,4,4,2,noun, (n) ham,26,669,0.73
1110,hamu,106,4,4,2,adverb, (adv) to give a sudden sharp pain,24,559,1.00
1111,hana,106,4,4,2,pronoun, (pron) their (dual),29,621,0.93
1112,hanga,106,5,4,2,verb, (v) to turn (so as to face in a specified direction); to look or see; (of a word) to refer,32,544,0.91
1113,hanganoa,106,8,7,4,verb," (v) to attend to by way of distraction, to divert one’s mind (from worry, sorrow)",24,651,0.79
1114,hangatonu,106,9,8,4,adjective/adverb/verb," (adj/adv/v) straight, straight along, directly; in a straight line; level, on a level; to go straight, to face directly, or concern directly",24,530,0.96
1115,hangē,106,5,5,3,verb," (v) to be like, to resemble, or to be according to or in conformity with; to be as if, to seem that",26,534,0.96
1116,hano,106,4,4,2,pronoun," (pron) his, her, its",24,720,0.79
1117,hanu,106,4,4,2,verb," (v) to complain, to express dissatisfaction",29,623,1.00
1118,ha'o,106,4,4,2,pronoun, (pron) your (singular),24,564,0.75
1119,haohaoa,106,7,7,5,adverb, (adv) perfectly; absolutely good; thoroughly,32,528,0.75
1120,ha‘a,107,4,4,2,noun," (n) people, race, tribe; person having the rank or status of; descendants of (kings, nobles)",24,518,1.00
1121,ha‘aki,107,6,6,3,verb," (v) to throw down with violence; to put down with force, to plank down; to bang or slam (a door)",23,569,1.00
1122,ha‘alo,107,6,6,3,verb," (v) to make clean and smooth by scraping tutu (inner bark or mulberry tree, used in making tapa cloth)",26,489,1.00
1123,ha‘ama,107,6,6,3,pronoun, (pron) our (dual),23,481,1.00
1124,ha‘amo,107,6,6,3,pronoun, (pron) your (dual),28,537,1.00
1125,Ha‘amonga,107,9,8,4,noun, (n) the famous prehistoric triathlon between Kolonga and Niutoua (on Tongatapu),24,622,1.00
1126,ha‘amoutolu,107,11,11,6,pronoun," (pron) your, yours (plural)",32,527,1.00
1127,ha‘ana,107,6,6,3,pronoun, (pron) their (dual),24,549,1.00
1128,ha‘anaua,107,8,8,5,pronoun," (pron) their, theirs (dual)",24,533,0.92
1129,ha‘anautolu,107,11,11,6,pronoun, (pron) theirs (plural),26,580,0.96
1130,ha‘ane,107,6,6,3,pronoun," (pron) his, her, its",24,669,1.00
1131,ha‘amoua,107,8,8,5,pronoun," (pron) your, yours (dual)",29,628,0.93
1132,haʻaku,107,6,6,3,pronoun, (pron) my,23,540,0.96
1133,haʻamau,107,7,7,4,pronoun, (pron) our (plural),32,613,0.91
1134,haʻamo,107,6,6,3,verb, (v) to carry on a stick over the shoulder,24,486,0.96
1135,Haʻamoa,107,7,7,4,noun, (n) Samoa,24,542,1.00
1136,haʻamonga,107,9,8,4,noun, (n) load or burden carried on a shoulder-stick,26,516,1.00
1137,haʻamou,107,7,7,4,pronoun, (pron) your (plural),24,620,1.00
1138,Haʻapai,107,7,7,4,noun, (n) the central group of the three main island groups of Tonga,29,535,1.00
1139,haʻape,107,6,6,3,noun, (n) harp,24,597,1.00
1140,haʻata,107,6,6,3,noun, (n) our (dual),32,539,1.00
1141,haʻataua,107,8,8,5,pronoun," (pron) our, ours (dual)",24,603,1.00
1142,haʻatautolu,107,11,11,6,pronoun, (pron) ours (plural),23,519,0.96
1143,haʻate,107,6,6,3,pronoun," (pron) one’s, my",26,461,1.00
1144,haʻau,107,5,5,3,pronoun," (pron) your, yours (singular)",24,515,1.00
1145,hāʻele,107,6,7,4,verb, (v) to go (regal for ʻalu); to come (regal for haʻu),29,497,1.00
1146,haʻi,107,4,4,2,noun," (n) binding; bond, that which binds, or fetters; bracket or parenthesis",24,459,0.96
1147,haʻinga,107,7,6,3,noun," (n) bundle, bunch (of things tied together)",32,521,1.00
1148,hapai,107,5,5,3,verb, (v) to support or carry on the palms of the hands,24,646,0.92
1149,hapohapo,107,8,8,4,verb," (v) to keep on throwing something up and catching it, or to play at throwing and catching",24,640,0.96
1150,hata,107,4,4,2,pronoun, (pron) our (dual),29,611,0.93
1151,hau,107,3,3,2,noun," (n) ear-ring, ear ornament; nose- ring, nose ornament",24,573,0.83
1152,haua,107,4,4,3,adjective/verb, (adj/v) continually wandering about as if more or less insane,24,572,0.83
1153,hauhau,107,6,6,4,adjective/verb," (adj/v) damp, moist",26,554,0.96
1154,hauhausia,107,9,9,6,verb," (v) to be soft, or mildewed, through exposure to damp air",24,698,0.71
1155,have‘i,107,6,6,3,verb," (v) to break in pieces, to smash; to crush, mangle, or squash",29,539,0.90
1156,havehave,107,8,8,4,verb," (v) to come to pieces, to be or become shattered, broken, smashed or crushed",24,673,0.88
1157,havili,107,6,6,3,noun," (n) wind, strong breeze; draft",32,500,0.91
1158,havilivili,107,10,10,5,verb, (v) to be breezy,24,526,1.00
1159,ha‘o,108,4,4,2,pronoun, (pron) your (singular),24,481,1.00
1160,haofanga,108,8,7,4,noun, (n) ring or circle of people,26,644,0.85
1161,haʻu,108,4,4,2,verb," (v) to come; begin to come, come away",24,594,1.00
1162,hē,108,2,3,2,verb," (v) to stray, go astray; to err",23,541,1.00
1163,he‘ete or ‘ete,108,6,6,3,pronoun," (pron) one’s, my",32,480,0.97
1164,heʻe,108,4,4,2,interjection, (interj) here you are!,24,457,1.00
1165,heʻeku or ʻeku,108,6,6,3,pronoun, (pron) my,24,511,0.96
1166,heʻema or ʻema,108,6,6,3,pronoun, (pron) our (dual),25,509,0.96
1167,heʻemau or ʻemau,108,7,7,4,pronoun, (pron) our (plural),24,540,1.00
1168,heʻena,108,6,6,3,pronoun, (pron) their (dual),29,552,0.97
1169,heʻenau or ʻenau,108,7,7,4,pronoun, (pron) their (plural),24,576,0.96
1170,heʻene or ʻene,108,6,6,3,pronoun," (pron) his, her, its",32,589,0.97
1171,heʻeta or ʻeta,108,6,6,3,pronoun, (pron) our (dual),24,500,1.00
1172,heʻetau or ʻetau,108,7,7,4,pronoun, (pron) our (plural),24,600,0.96
1173,hēhē‘ia,108,7,9,6,verb, (v) to talk in one’s sleep,26,540,1.00
1174,heheke,108,6,6,3,adjective/verb, (adj/v) very smooth and slippery,24,689,1.00
1175,hehengi,108,7,6,3,adjective/verb," (adj/v) wild, undomesticated -",29,662,0.76
1176,heilala,108,7,7,4,noun, (n) flowering tree,24,580,0.96
1177,heka,108,4,4,2,verb," (v) to sit on anything raised above the ground, to sit on a chair; to mount or go aboard, to ride in or on",32,566,1.00
1178,hekasi,108,6,6,3,verb," (v) to crush or damage (or run the risk of doing so) by sitting or riding on; to ride for the first time, break in",24,783,0.88
1179,heke,108,4,4,2,adjective/verb," (adj/v) lame, crippled, not able to walk at all",24,581,0.83
1180,hekea,108,5,5,3,verb," (v) to slip, slide (accidentally)",26,573,0.81
1181,hekeheke,108,8,8,4,adjective/verb, (adj/v) slippery,24,552,1.00
1182,hēkesi,108,6,7,4,noun, (n) neck-tie,28,550,1.00
1183,hela,108,4,4,2,noun, (n) tiredness; asthma,24,577,1.00
1184,hela‘ia,108,7,7,4,verb," (v) to be tired out, to feel exhausted",32,508,0.97
1185,hele,108,4,4,2,verb, (v) to cut with a knife,24,531,0.92
1186,hele‘uhila,108,10,10,5,noun," (n) lantern pictures; moving pictures; magic lantern, projector |",24,510,1.00
1187,heletā,108,6,7,4,noun, (n) sword,26,528,0.96
1188,heli,108,4,4,2,noun, (n) hell,23,703,0.91
1189,helikopetā,108,10,11,6,noun, (n) helicopter,29,641,1.00
1190,helu,108,4,4,2,noun, (n) comb,24,642,0.92
1191,hema,108,4,4,2,adjective/verb, (adj/v) left side; left-handed person,32,554,0.75
1192,hena,108,4,4,2,adverb/pronoun," (adv/pron) that, those; that place, or there, where you are or are looking",24,672,0.88
1193,hengihengi,108,10,8,4,noun, (n) early morning,26,581,0.77
1194,heni,108,4,4,2,adverb/pronoun," (adv/pron) this, these; this place; here",24,585,0.96
1195,Hepelū,108,6,7,4,adjective/noun, (adj/n) Hebrew,29,534,1.00
1196,Hētesi,108,6,7,4,noun, (n) Hades,24,506,1.00
1197,hētolo,108,6,7,4,noun, (n) hurdle; hurdle race,31,515,0.97
1198,heu,108,3,3,2,verb," (v) to rake; to stir or poke; to stir or mix by stirring; to shuffle; to push out of the way, to shove away, or to ward off; to clean, clean out, remove dirt",24,589,0.71
1199,hēvani,108,6,7,4,noun, (n) heaven,24,527,0.96
1200,hia,109,3,3,2,noun," (n) offence, crime, wrong-doing",26,521,0.92
1201,hifi,109,4,4,2,verb," (v) to cut, cut up, carve, pare, or slice; to cut up and string (beans); to trim the edges of (wood)",24,514,1.00
1202,hifo,109,4,4,2,verb," (v) to go down, descend; to dismount, get down, get out (of a vehicle), alight; to get off, go ashore, disembark; to go down to the beach or into the water; to be deposed or dismissed from office",32,497,0.94
1203,hifo‘anga,109,9,8,4,noun," (n) place for going down or descending; place where a road, etc., slopes down; or cause or reason for going down",24,518,1.00
1204,hihi,109,4,4,2,verb," (v) to scoop out, gouge out; (of clams) to open with a knife and detach the flesh hihifo: (adj) west, western",24,577,0.96
1205,hihifo,109,6,6,3,noun," (n) west, direction in which the sun sets",26,534,0.92
1206,hihiloku,109,8,8,4,verb, (v) to gouge out the flesh of a green coconut,24,715,0.79
1207,hika,109,4,4,2,adjective/verb, (adj/v) (of the hair) straight,29,586,1.00
1208,hiki,109,4,4,2,verb," (v) to lift, raise; to move from one place or position to another, to transfer; to copy; to quote; to translate",23,523,1.00
1209,hiki-ha‘aki,109,10,10,5,verb, (v) to lift up and throw down with violence,32,497,0.97
1210,hikinima,109,8,8,4,verb, (v) to raise one’s hand in voting,24,678,0.92
1211,hikinima‘i,109,10,10,5,verb," (v) to vote for, or vote on by raising the hand",24,564,1.00
1212,hiko,109,4,4,2,noun/verb, (n/v) to juggle(or juggling),26,563,0.96
1213,hiku,109,4,4,2,noun, (n) tail (of fish or reptile); end (of a rope or string); tip (of a leaf); lower end,24,556,1.00
1214,hikumata,109,8,8,4,noun, (n) outer corner of the eye,29,687,0.76
1215,hila,109,4,4,2,verb," (v) to glance, to turn the eyes",24,607,0.96
1216,hili,109,4,4,2,verb, (v) to put or lay or place on something,32,485,0.97
1217,hili‘anga,109,9,8,4,noun," (n) place or thing on which things are laid, shelf",24,534,0.96
1218,hilifaki,109,8,8,4,verb, (v) to put or lay on place on top of something,23,505,1.00
1219,hilifaki-kalauni,109,15,15,8,noun, (n) coronation,26,613,1.00
1220,hilifakinima,109,12,12,6,verb, (v) to confirm or ordain,24,683,0.88
1221,himi,109,4,4,2,noun, (n) hymn,28,480,1.00
1222,hina,109,4,4,2,noun, (n) spider,24,758,1.00
1223,hinā,109,4,5,3,adjective/verb, (adj/v) grey or white (of the hair),32,478,1.00
